Date,Open,High,Low,Close,Volume
13-Jan-17,39.16,39.33,39.03,39.26,9455308
12-Jan-17,39.03,39.32,38.59,39.20,11527296
11-Jan-17,38.64,39.13,38.64,39.11,10403082
10-Jan-17,39.00,39.07,38.66,38.66,11316576
9-Jan-17,38.53,39.45,38.47,39.03,15587888
6-Jan-17,38.75,38.75,38.38,38.45,14829725
5-Jan-17,38.67,38.95,38.40,38.64,12064718
4-Jan-17,38.55,38.92,38.55,38.74,9545541
3-Jan-17,38.45,38.69,38.30,38.55,11051341
30-Dec-16,38.75,38.86,38.34,38.45,10820188
29-Dec-16,38.61,38.84,38.61,38.69,5712159
28-Dec-16,38.87,38.92,38.63,38.68,8264081
27-Dec-16,38.77,39.04,38.76,38.82,5073778
23-Dec-16,38.79,39.02,38.63,38.78,8143554
22-Dec-16,38.93,39.24,38.60,38.96,11226345
21-Dec-16,39.06,39.06,38.61,38.83,11966373
20-Dec-16,38.96,39.11,38.80,39.00,14006387
19-Dec-16,39.03,39.19,38.59,38.90,15135143
16-Dec-16,40.22,40.22,38.76,39.10,46224181
15-Dec-16,40.95,41.14,40.74,40.86,17783475
14-Dec-16,40.87,41.09,40.62,40.88,25102420
13-Dec-16,40.47,41.00,40.47,40.76,12493139
12-Dec-16,40.35,40.70,40.35,40.51,10891491
9-Dec-16,40.41,40.77,40.28,40.52,11219098
8-Dec-16,40.32,40.50,40.08,40.35,10109674
7-Dec-16,39.50,40.37,39.49,40.32,15170645
6-Dec-16,39.01,39.48,38.88,39.47,13524707
5-Dec-16,38.60,39.11,38.54,38.97,13681522
2-Dec-16,38.46,38.83,37.64,38.50,19120264
1-Dec-16,40.11,40.18,38.46,38.70,22740168
30-Nov-16,40.66,40.70,40.19,40.19,14374592
29-Nov-16,40.34,40.74,40.13,40.55,10157369
28-Nov-16,40.13,40.53,40.05,40.30,12118281
25-Nov-16,40.04,40.35,40.04,40.27,4013115
23-Nov-16,40.05,40.10,39.84,40.10,11101774
22-Nov-16,40.09,40.12,39.81,40.09,10993083
21-Nov-16,39.97,40.03,39.67,39.89,8073077
18-Nov-16,40.28,40.49,39.67,39.86,12890599
17-Nov-16,39.80,40.29,39.67,40.25,13260272
16-Nov-16,39.10,39.80,38.92,39.70,12596969
15-Nov-16,38.89,39.22,38.68,39.17,13594292
14-Nov-16,39.39,39.67,39.11,39.30,15417089
11-Nov-16,39.54,39.80,39.18,39.45,12217654
10-Nov-16,39.65,40.06,39.30,39.58,26707219
9-Nov-16,38.56,39.74,38.39,39.55,19497316
8-Nov-16,39.16,39.35,38.98,39.13,7574742
7-Nov-16,38.73,39.15,38.72,39.09,9506917
4-Nov-16,38.31,38.58,38.17,38.28,14288949
3-Nov-16,37.99,38.38,37.99,38.31,12393143
2-Nov-16,38.46,38.49,37.98,38.03,9488381
1-Nov-16,38.58,38.58,38.22,38.46,12018182
31-Oct-16,38.31,38.51,38.20,38.42,10485259
28-Oct-16,38.30,38.45,38.02,38.17,7803348
27-Oct-16,38.41,38.56,38.15,38.22,7588890
26-Oct-16,38.15,38.64,38.15,38.31,9723068
25-Oct-16,38.33,38.43,38.10,38.36,11627932
24-Oct-16,38.12,38.42,38.12,38.27,13550458
21-Oct-16,37.99,38.12,37.77,37.93,13413355
20-Oct-16,38.12,38.35,38.01,38.09,11196995
19-Oct-16,38.52,38.64,38.31,38.35,8310928
18-Oct-16,38.60,38.69,38.36,38.42,7121851
17-Oct-16,38.54,38.54,38.21,38.29,9418950
14-Oct-16,38.26,38.58,38.19,38.41,11601173
13-Oct-16,37.86,38.19,37.62,38.03,14118062
12-Oct-16,37.93,38.15,37.64,38.05,8944920
11-Oct-16,38.56,38.65,37.81,38.01,14964003
10-Oct-16,38.86,39.00,38.59,38.62,9475433
7-Oct-16,38.84,39.00,38.61,38.71,11442032
6-Oct-16,39.11,39.24,38.63,38.87,9789055
5-Oct-16,39.11,39.34,38.89,39.15,8269218
4-Oct-16,39.04,39.20,38.76,38.87,9199333
3-Oct-16,39.20,39.26,38.86,38.99,10403519
30-Sep-16,39.25,39.44,39.09,39.28,12861882
29-Sep-16,39.25,39.62,39.08,39.12,8795189
28-Sep-16,39.23,39.50,39.16,39.44,8103466
27-Sep-16,38.90,39.49,38.86,39.30,10644622
26-Sep-16,39.00,39.10,38.76,39.03,9840941
23-Sep-16,39.39,39.42,39.03,39.23,14017314
22-Sep-16,39.68,39.80,39.48,39.51,9679298
21-Sep-16,39.19,39.58,39.19,39.51,10993990
